basin_cdec,cfs_cdec,cfs_usgs,county_cdec,data_collect_cdec,gage_oper_cdec,gelev_ft_cdec,group_cdec,hist_pkflow_usgs,id_cdec,id_nws,id_usgs,lat_cdec,lat_usgs,lon_cdec,lon_usgs,most_recent_cdec,most_recent_usgs,name_cdec,name_usgs,nearby_cty_cdec,nwsfloodstg_ft_usgs,stage_ft_usgs,state_usgs
Merced R,3299,NA,Merced,NA,DWR/South Central Region,260,San Joaquin River,NA,MSN,MPMC1,NA,37.502,NA,-120.451,NA,2019-05-31T08:00:00Z,NA,Merced River Near Snelling,NA,Snelling,NA,NA,NA
Merced R,3936,NA,Merced,NA,DWR/South Central Region,82,San Joaquin River,NA,MST,STVC1,NA,37.371,NA,-120.931,NA,2019-05-31T08:00:00Z,NA,Merced River Near Stevinson,NA,Stevinson,NA,NA,NA
Merced R,1135,NA,Mariposa,NA,Merced Irrigation District,3960,San Joaquin River,NA,SMW,MIIC1,NA,37.5417,NA,-119.6722,NA,2019-05-31T07:45:00Z,NA,South Fork Merced River At Wawona,NA,Wawona,NA,NA,NA
Fresno R,179,NA,Madera,NA,USACE,540,San Joaquin River,NA,FHL,HNRC1,NA,37.1506,NA,-119.8561,NA,2019-05-31T07:45:00Z,NA,Fresno R Abv Henley Lake,NA,Madera,NA,NA,NA
Fresno R,130,NA,Madera,Satellite,DWR/South Central Region,2295,San Joaquin River,NA,FRU,NEFC1,NA,37.345,NA,-119.6392,NA,2019-05-31T07:45:00Z,NA,Fresno R Lewis Fork Nr Oakhurst,NA,Oakhurst,NA,NA,NA
San Joaquin R,162,NA,Madera,NA,DWR/South Central Region,95,San Joaquin River,NA,BSD,NA,NA,37.2547,NA,-120.7194,NA,2019-05-31T08:15:00Z,NA,Bear Ck Blw Eastside Canal,NA,Madera,NA,NA,NA
San Joaquin R,259,NA,Merced,NA,USACE,167,San Joaquin River,NA,MCK,MEEC1,NA,37.3092,NA,-120.4456,NA,2019-05-31T07:00:00Z,NA,Bear Creek At Mc Kee Road,NA,Planada,NA,NA,NA
San Joaquin R,4612,NA,Madera,NA,San Luis Delta-Mendota Water Authority,170,San Joaquin River,NA,CBP,CHBC1,NA,36.774,NA,-120.285,NA,2019-05-31T07:30:00Z,NA,Chowchilla Bypass,NA,Mendota,NA,NA,NA
San Joaquin R,18,NA,San Joaquin,Satellite,DWR/North Central Region,20,Sacramento River,NA,DAR,DARC1,NA,37.768959,NA,-121.419414,NA,2019-05-31T08:15:00Z,NA,Drainage At Arbor Road,NA,Tracey,NA,NA,NA
San Joaquin R,7680,7680,Contra Costa,NA,USGS,10,San Joaquin River,NA,DSJ,DUJC1,11313433,38.013,38.0135326,-121.671,-121.667731,2019-05-31T07:15:00Z,2019-05-31T06:15:00Z,Dutch Slough At Jersey Island,Dutch Slough Bl Jersey Island Rd A Jersey Island,Oakley,NA,4.15,ca
San Joaquin R,5620,NA,Merced,NA,DWR/South Central Region,115,San Joaquin River,NA,EBM,EBYC1,NA,37.205,NA,-120.6981,NA,2019-05-31T07:45:00Z,NA,Eastside Bypass Blw Mariposa Bypass,NA,Merced,NA,NA,NA
San Joaquin R,5315,NA,Merced,NA,DWR/Flood Management,100,San Joaquin River,NA,ELN,ELNC1,NA,37.1475,NA,-120.6053,NA,2019-05-31T07:45:00Z,NA,Eastside Bypass Near El Nido,NA,Merced,NA,NA,NA
San Joaquin R,1730,NA,San Joaquin,Data Xchg-dwr Ncro,DWR/North Central Region,4,San Joaquin River,NA,FCT,FCTC1,NA,38.067822,NA,-121.648838,NA,2019-05-31T08:15:00Z,NA,Fishermans Cut,NA,Antioch,NA,NA,NA
San Joaquin R,9620,9620,San Joaquin,NA,USGS & DWR,10,San Joaquin River,NA,GLC,GCTC1,11313240,37.8196,37.82,-121.5485,-121.5447222,2019-05-31T07:15:00Z,2019-05-31T06:15:00Z,Grantline Canal (usgs),Grant Line Cn Nr Tracy Ca,Tracy,NA,5.46,ca
San Joaquin R,17700,17700,San Joaquin,NA,USGS & DWR,0,San Joaquin River,NA,HOL,HDCC1,11313431,38.0164,38.01638889,-121.5819,-121.5819444,2019-05-31T07:15:00Z,2019-05-31T06:15:00Z,Holland Cut Near Bethel Island,Holland Cut Nr Bethel Island Ca,Bethel Island,NA,13.83,ca
San Joaquin R,2523,NA,Fresno,NA,Reclamation District 1606,170,San Joaquin River,NA,JBP,JAMC1,NA,36.653,NA,-120.18,NA,2019-05-31T08:00:00Z,NA,James Bypass,NA,San Joaquin,NA,NA,NA
San Joaquin R,0,NA,Fresno,NA,USBR,350,San Joaquin River,NA,LDC,LTDC1,NA,36.934193,NA,-119.729557,NA,2019-05-31T07:30:00Z,NA,Little Dry Creek (usbr),NA,Fresno,NA,NA,NA
San Joaquin R,6790,6790,San Joaquin,NA,USGS,0,San Joaquin River,NA,LPS,LPGC1,11336790,38.0964,38.09638889,-121.4961,-121.496111,2019-05-31T07:30:00Z,2019-05-31T06:30:00Z,Little Potato Slough At Terminous,Little Potato Slough A Terminous Ca,Terminous,NA,17.45,ca
San Joaquin R,922,NA,San Joaquin,Data Xchg-dwr Ncro,DWR/North Central Region,7,San Joaquin River,NA,MAB,MLVC1,NA,37.88518143,NA,-121.4727631,NA,2019-05-31T08:15:00Z,NA,Middle River Above Barrier,NA,Stockton,NA,NA,NA
San Joaquin R,386,NA,San Joaquin,Data Xchg-dwr Ncro,DWR/North Central Region,0,San Joaquin River,NA,MRU,MVUC1,NA,37.8339,NA,-121.386,NA,2019-05-31T08:15:00Z,NA,Middle River At Undine Road,NA,Lathrop,NA,NA,NA
San Joaquin R,20900,20900,San Joaquin,NA,USGS & DWR,0,San Joaquin River,NA,HLT,MHTC1,11312685,38.0031,38.00305556,-121.5108,-121.5108333,2019-05-31T07:00:00Z,2019-05-31T06:00:00Z,Middle River Near Holt,Middle R Nr Holt Ca,Holt,NA,13.94,ca
San Joaquin R,557,301,Merced,NA,USGS,70,San Joaquin River,1060,MSG,MUEC1,11262900,37.2625,37.26244,-120.9056,-120.9065908,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,Mud Slough Nr Gustine,Mud Slough Nr Gustine Ca,Gustine,NA,8.62,ca
San Joaquin R,111,NA,Madera,NA,Madera Irrigation District,5200,San Joaquin River,NA,NFW,WLOC1,NA,37.3978,NA,-119.5592,NA,2019-05-31T07:45:00Z,NA,N Fk Willow Ck Nr Sugar Pine,NA,Oakhurst,NA,NA,NA
San Joaquin R,6856,NA,San Joaquin,Data Xchg-dwr Ncro,DWR/North Central Region,8,San Joaquin River,NA,ORX,ORXC1,NA,37.810997,NA,-121.386576,NA,2019-05-31T08:15:00Z,NA,Old River Above Doughty Cut,NA,Tracy,NA,NA,NA
San Joaquin R,11388,NA,Contra Costa,NA,DWR/North Central Region,0,San Joaquin River,NA,ORI,CFNC1,NA,37.828,NA,-121.5526,NA,2019-05-31T08:15:00Z,NA,Old River At Clifton Court Intake,NA,Byron,NA,NA,NA
San Joaquin R,6363,NA,San Joaquin,NA,DWR/North Central Region,15,San Joaquin River,NA,OH1,ORHC1,NA,37.80755234,NA,-121.3312531,NA,2019-05-31T08:15:00Z,NA,Old River At Head,NA,Tracy,NA,NA,NA
San Joaquin R,15000,15000,San Joaquin,NA,USGS & DWR,0,San Joaquin River,NA,ORQ,ORQC1,11313434,38.0272,38.0272222,-121.5645,-121.5644444,2019-05-31T07:15:00Z,2019-05-31T06:15:00Z,Old River At Quimbly Is Near Bethel Is,Old R A Quimby Island Nr Bethel Island Ca,Bethel Island,NA,6.06,ca
San Joaquin R,2352,NA,San Joaquin,Data Xchg-dwr Ncro,DWR/North Central Region,5,San Joaquin River,NA,ORM,OMCC1,NA,37.79384,NA,-121.51738,NA,2019-05-31T08:15:00Z,NA,Old River Upstream Of Mountain House Crk,NA,Tracy,NA,NA,NA
San Joaquin R,64,2.73,Stanislaus,NA,USGS,0,San Joaquin River,12000,ORE,OREC1,11274500,37.31549072,37.31549247,-121.125206,-121.1252081,2019-05-31T07:15:00Z,2019-05-31T07:15:00Z,Orestimba Creek Nr Newman,Orestimba C Nr Newman Ca,Newman,NA,2.49,ca
San Joaquin R,740,NA,San Joaquin,Data Xchg-dwr Des,DWR/North Central Region,8,San Joaquin River,NA,PDC,PCUC1,NA,37.8020598,NA,-121.4122564,NA,2019-05-31T08:00:00Z,NA,Paradise Cut,NA,Tracy,NA,NA,NA
San Joaquin R,1070,342,Merced,NA,USGS,75,San Joaquin River,810,SSH,SSHC1,11261100,37.2478,37.24771864,-120.8511,-120.8521446,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,Salt Slough At Hwy 165 Nr Stevinson,Salt Slough A Hwy 165 Nr Stevinson Ca,Stevinson,NA,69.84,ca
San Joaquin R,NA,2500,Stanislaus,Satellite,USGS,60,San Joaquin River,NA,SMN,SJDC1,11273400,37.34721375,37.3472151,-120.976181,-120.9761777,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,San Joaquin R Abv Merced R Nr Newman,San Joaquin R Ab Merced R Nr Newman Ca,Newman,NA,61.81,ca
San Joaquin R,6817,NA,San Joaquin,NA,DWR/Operations & Maintenance,0,San Joaquin River,NA,BDT,BBGC1,NA,37.865,NA,-121.3231,NA,2019-05-31T08:15:00Z,NA,San Joaquin R At Brandt Bridge,NA,Lathrop,NA,NA,NA
San Joaquin R,6663,6480,Merced,NA,USGS,65,San Joaquin River,23000,FFB,FRFC1,11261500,37.30994034,37.3099386,-120.9310379,-120.9310369,2019-05-31T08:00:00Z,2019-05-31T07:00:00Z,San Joaquin R At Fremont Ford Bridge,San Joaquin R A Fremont Ford Bridge Ca,Gustine,NA,68.84,ca
San Joaquin R,5497,NA,Madera,NA,USBR,260,Sacramento River,NA,H41,SJXC1,NA,36.8762,NA,-119.7932,NA,2019-05-31T08:00:00Z,NA,San Joaquin R At Hwy 41,NA,Fresno,NA,NA,NA
San Joaquin R,10243,NA,Stanislaus,NA,DWR,39,San Joaquin River,NA,MRB,MZRC1,NA,37.6414,NA,-121.2276,NA,2019-05-31T08:00:00Z,NA,San Joaquin R At Maze Rd Bridge,NA,San Joaquin City,NA,NA,NA
San Joaquin R,56300,56300,San Joaquin,NA,USGS,0,San Joaquin River,NA,PRI,PRXC1,11313460,38.0594,38.05944444,-121.5572,-121.5572222,2019-05-31T07:15:00Z,2019-05-31T06:15:00Z,San Joaquin R At Prisoners Pt Nr Termino,San Joaquin R A Prisoners Pt Nr Terminous Ca,Terminous,NA,22.26,ca
San Joaquin R,6555,NA,Madera,Satellite,USBR,200,San Joaquin River,NA,SKB,RSBC1,NA,36.8229,NA,-120.0884,NA,2019-05-31T08:15:00Z,NA,San Joaquin R Blw Hwy 145 (skaggs Br),NA,Kerman,NA,NA,NA
San Joaquin R,8620,8620,Stanislaus,NA,USGS,60,San Joaquin River,38000,SCL,CRDC1,11274550,37.43188095,37.43187949,-121.0138168,-121.0138193,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,San Joaquin R Nr Crows Landing,San Joaquin R Nr Crows Landing Ca,Crows Landing,NA,51.01,ca
San Joaquin R,2273,NA,Fresno,Satellite,DWR,116,San Joaquin River,NA,SDP,DOPC1,NA,36.994,NA,-120.5015,NA,2019-05-31T07:30:00Z,NA,San Joaquin R Nr Dos Palos,NA,Dos Palos,NA,NA,NA
San Joaquin R,7300,7300,San Joaquin,NA,USGS,13,San Joaquin River,NA,SJG,SQGC1,11304810,37.935,37.93547987,-121.329,-121.3302245,2019-05-31T07:00:00Z,2019-05-31T06:00:00Z,San Joaquin River At Garwood Bridge,San Joaquin R Bl Garwood Bridge A Stockton Ca,Stockton,NA,5.98,ca
San Joaquin R,5727,NA,Fresno,NA,USBR,170,San Joaquin River,NA,GRF,GVAC1,NA,36.798,NA,-120.16,NA,2019-05-31T08:15:00Z,NA,San Joaquin River At Gravelly Ford,NA,Mendota,NA,NA,NA
San Joaquin R,154000,154000,Contra Costa,NA,USGS,10,San Joaquin River,NA,SJJ,JRSC1,11337190,38.052,38.0521424,-121.689,-121.6888428,2019-05-31T07:30:00Z,2019-05-31T06:30:00Z,San Joaquin River At Jersey Point (usgs),San Joaquin R A Jersey Point Ca,Oakley,NA,3.74,ca
San Joaquin R,13521,NA,San Joaquin,NA,DWR/Division of Environmental Service,31,San Joaquin River,NA,MSD,MOSC1,NA,37.786,NA,-121.306,NA,2019-05-31T08:00:00Z,NA,San Joaquin River At Mossdale Bridge,NA,Manteca,NA,NA,NA
San Joaquin R,986,NA,Madera,Satellite,USBR,170,San Joaquin River,NA,SJB,BIFC1,NA,36.773,NA,-120.286,NA,2019-05-31T07:30:00Z,NA,San Joaquin River Below Bifurcation,NA,Mendota,NA,NA,NA
San Joaquin R,5580,5580,Fresno,NA,USGS,294,San Joaquin River,77200,SJF,SJFC1,11251000,36.98439407,36.98439397,-119.7243118,-119.7243124,2019-05-31T07:30:00Z,2019-05-31T07:45:00Z,San Joaquin River Below Friant,San Joaquin R Bl Friant Ca,Fresno,NA,8.77,ca
San Joaquin R,3437,NA,Fresno,NA,PG&E,870,San Joaquin River,NA,SJA,ARBC1,NA,37.132,NA,-119.531,NA,2019-05-31T08:30:00Z,NA,San Joaquin River Near Auberry,NA,Auberry,NA,NA,NA
San Joaquin R,11250,NA,San Joaquin,Data Xchg-dwr Ncro,DWR/North Central Region,10,San Joaquin River,NA,SJC,NA,NA,37.980266,NA,-121.385717,NA,2019-05-31T07:45:00Z,NA,San Joaquin River Near Buckley Cove,NA,Stockton,NA,NA,NA
San Joaquin R,1922,1920,Fresno,NA,USGS,170,San Joaquin River,11740,MEN,SJMC1,11254000,36.81050491,36.8105046,-120.3782272,-120.3782256,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,San Joaquin River Near Mendota,San Joaquin R Nr Mendota Ca,Mendota,NA,9.73,ca
San Joaquin R,7419,7420,Merced,NA,USGS,90,San Joaquin River,36200,NEW,NWMC1,11274000,37.35049438,37.3504928,-120.97715,-120.97715,2019-05-31T07:45:00Z,2019-05-31T07:45:00Z,San Joaquin River Near Newman,San Joaquin R Nr Newman Ca,Newman,69.4,61.56,ca
San Joaquin R,8509,NA,Stanislaus,Satellite,DWR/South Central Region,97,San Joaquin River,NA,SJP,PATC1,NA,37.494,NA,-121.081,NA,2019-05-31T07:45:00Z,NA,San Joaquin River Near Patterson,NA,Patterson,NA,NA,NA
San Joaquin R,5907,NA,Merced,NA,DWR/South Central Region,82,San Joaquin River,NA,SJS,SSTC1,NA,37.295,NA,-120.851,NA,2019-05-31T07:45:00Z,NA,San Joaquin River Near Stevinson,NA,Stevenson,NA,NA,NA
San Joaquin R,13496,13500,San Joaquin,NA,USGS & DWR,35,San Joaquin River,79000,VNS,VNSC1,11303500,37.67604065,37.6760406,-121.2663269,-121.2663293,2019-05-31T07:45:00Z,2019-05-31T07:45:00Z,San Joaquin River Near Vernalis,San Joaquin R Nr Vernalis Ca,Modesto,29,19.76,ca
San Joaquin R,-362,NA,San Joaquin,Data Xchg-dwr Des,DWR/North Central Region,8,San Joaquin River,NA,SGA,DSUC1,NA,37.7928598,NA,-121.4214954,NA,2019-05-31T06:30:00Z,NA,Sugar Cut,NA,Tracy,NA,NA,NA
San Joaquin R,987,987,San Joaquin,NA,USGS & DWR,0,San Joaquin River,NA,TRN,TUEC1,11311300,37.9928,37.9925,-121.4542,-121.4538889,2019-05-31T07:00:00Z,2019-05-31T06:00:00Z,Turner Cut Near Holt,Turner Cut Nr Holt Ca,Holt,NA,9.72,ca
San Joaquin R,-322,NA,Contra Costa,NA,DWR/North Central Region,0,San Joaquin River,NA,WCI,WCIC1,NA,37.8316,NA,-121.554,NA,2019-05-31T08:15:00Z,NA,West Canal At Clifton Court Intake,NA,Byron,NA,NA,NA
Kings R,0,NA,Fresno,Satellite,PG&E,1320,Tulare Lake,NA,DKS,NA,NA,36.9081,NA,-119.1242,NA,2019-05-31T07:30:00Z,NA,Dinkey Ck Siphon,NA,Piedra,NA,NA,NA
Kings R,7302,NA,Fresno,NA,USACE,942,San Joaquin River,NA,KRT,KREC1,NA,36.8747,NA,-119.1408,NA,2019-05-31T08:00:00Z,NA,Kings R Nr Trimmer,NA,Sanger,NA,NA,NA
Kings R,240,NA,Fresno,NA,"Pacific Gas & Electric Company, Auberry",8150,Tulare Lake,NA,MBK,MBSC1,NA,37.081,NA,-118.862,NA,2019-05-31T07:30:00Z,NA,Kings River At Meadowbrook,NA,Shaver Lake,NA,NA,NA
Kings R,596,NA,Kings,NA,USACE,230,Tulare Lake,NA,AMW,KRAC1,NA,36.386,NA,-119.787,NA,2019-05-31T07:00:00Z,NA,Kings River Below Army Weir,NA,Lemoore,NA,NA,NA
Kings R,39,NA,Fresno,NA,USACE,550,San Joaquin River,NA,PDR,MLPC1,NA,36.819,NA,-119.3409,NA,2019-05-31T07:00:00Z,NA,Mill Creek Near Piedra,NA,Piedra,NA,NA,NA
Kings R,2817,NA,Fresno,NA,PG&E,1035,Tulare Lake,NA,NKD,NKDC1,NA,36.88,NA,-119.128,NA,2019-05-31T07:30:00Z,NA,Nf Kings River Blw Dinkey Creek,NA,Sanger,NA,NA,NA
Kings R,1940,NA,Fresno,Satellite,Kings River Water Association,3779,Tulare Lake,NA,KBC,KGPC1,NA,36.80889,NA,-118.77806,NA,2019-05-31T07:30:00Z,NA,Sf Kings R Abv Boyden Cavern,NA,Cedar Grove,NA,NA,NA
Kings R,1140,NA,Fresno,Satellite,Kings River Water Association,4851,Tulare Lake,NA,KRR,KRRC1,NA,36.786958,NA,-118.616571,NA,2019-05-31T07:30:00Z,NA,Sf Kings R Abv Roaring R,NA,Cedar Grove,NA,NA,NA
Kaweah R,25,NA,Tulare,NA,USACE,589,Tulare Lake,NA,LCV,DLMC1,NA,36.4504,NA,-119.0284,NA,2019-05-31T07:00:00Z,NA,Dry Creek Near Lemoncove,NA,Woodlake,NA,NA,NA
Kaweah R,1871,NA,Tulare,NA,USACE,833,Tulare Lake,NA,TRR,KTRC1,NA,36.4439,NA,-118.9044,NA,2019-05-31T07:00:00Z,NA,Kaweah River At Three Rivers,NA,Three Rivers,NA,NA,NA
Tule R,6,NA,Tulare,Satellite,Kaweah Delta Water Conservation District,248,Tulare Lake,NA,EBY,NA,NA,36.124929,NA,-119.356306,NA,2019-05-31T08:15:00Z,NA,Elk Bayou,NA,Tipton,NA,NA,NA
Kern R,2681,NA,Kern,NA,USACE,2635,Tulare Lake,NA,KKV,KRVC1,NA,35.7544,NA,-118.4225,NA,2019-05-31T08:15:00Z,NA,Kern R At Kernville,NA,Kernville,NA,NA,NA
Kern R,4431,NA,Kern,NA,"Pacific Gas & Electric Company, Auberry",2100,Tulare Lake,NA,KRD,KBPC1,NA,35.4602,NA,-118.7804,NA,2019-05-31T07:30:00Z,NA,Kern R Bl Kern Cyn Ph Div Dam Ke-16,NA,Bakersfield,NA,NA,NA
Kern R,625,625,Kern,NA,USGS,2900,Tulare Lake,28700,SKO,SKRC1,11189500,35.73745346,35.7374516,-118.1736908,-118.173689,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,South Fork Kern River Near Onyx,Sf Kern R Nr Onyx Ca,Onyx,NA,5.99,ca
Los Gatos Cr (near Coalinga),1,1.17,Fresno,NA,USGS,1080,Tulare Lake,5700,LGC,LGCC1,11224500,36.2146759,36.21467719,-120.4707108,-120.4707116,2019-05-31T08:00:00Z,2019-05-31T07:00:00Z,Los Gatos Creek Near Coalinga,Los Gatos C Ab Nunez Cyn Nr Coalinga Ca,Coalinga,6,3.61,ca
Susan R,88,NA,Lassen,NA,DWR/Operations & Maintenance,4030,North Lahontan,NA,TOT,NA,NA,40.3814,NA,-120.4342,NA,2019-05-31T07:45:00Z,NA,Combined Ssd & Wcd Flows,NA,Standish,NA,NA,NA
Susan R,0,NA,Lassen,NA,DWR/North Region,4030,North Lahontan,NA,SSD,SSJC1,NA,40.38109207,NA,-120.4350357,NA,2019-05-31T07:45:00Z,NA,Susan R Nr Standish,NA,Standish,NA,NA,NA
Susan R,254,NA,Lassen,NA,DWR/North Region,4190,North Lahontan,NA,SSU,SUSC1,NA,40.41371536,NA,-120.6642227,NA,2019-05-31T08:00:00Z,NA,Susan River At Susanville,NA,Susanville,NA,NA,NA
Susan R,89,NA,Lassen,NA,DWR/North Region,4030,North Lahontan,NA,WCD,NA,NA,40.38116837,NA,-120.4349976,NA,2019-05-31T07:45:00Z,NA,Willow Creek Near Standish,NA,Standish,NA,NA,NA
Truckee R,84,84,Nevada,NA,USGS,5924,North Lahontan,863,DNC,DCKC1,10338500,39.32351685,39.3235172,-120.2343674,-120.2343654,2019-05-31T08:15:00Z,2019-05-31T07:15:00Z,Donner Creek At Donner Lake,Donner C A Donner Lk Nr Truckee Ca,Truckee,NA,3.65,ca
Truckee R,242,242,Nevada,NA,USGS,5870,North Lahontan,2500,DCK,DCHC1,10338700,39.32101822,39.32101739,-120.2079773,-120.2079759,2019-05-31T08:00:00Z,2019-05-31T07:00:00Z,Donner Creek At Hwy 89,Donner C At Hwy 89 Nr Truckee Ca,Truckee,7.5,4.15,ca
Truckee R,100,99.7,Sierra,NA,USGS,6920,North Lahontan,325,INC,ICPC1,10343000,39.4565717,39.4565717,-120.2871477,-120.2871477,2019-05-31T08:00:00Z,2019-05-31T07:00:00Z,Independence Creek Near Truckee,Independence C Nr Truckee Ca,Truckee,NA,4.25,ca
Truckee R,641,633,Nevada,NA,USGS & DWR,5619,North Lahontan,13300,LAB,LITC1,10344400,39.43574142,39.43574106,-120.0843658,-120.084366,2019-05-31T08:00:00Z,2019-05-31T07:00:00Z,Little Truckee R Abv Boca Reservoir,Little Truckee R Ab Boca Res Nr Truckee Ca,Truckee,NA,2.12,ca
Truckee R,542,533,Nevada,NA,USGS,5500,North Lahontan,8800,LTK,LTBC1,10344500,39.38685226,39.38685177,-120.0954742,-120.0954757,2019-05-31T08:00:00Z,2019-05-31T07:00:00Z,Little Truckee R Bl Boca Res,Little Truckee R Bl Boca Dam Nr Truckee Ca,Truckee,NA,3.45,ca
Truckee R,89,NA,Nevada,NA,USACE,5730,North Lahontan,NA,MTK,MCTC1,NA,39.32879639,NA,-120.1176987,NA,2019-05-31T07:30:00Z,NA,Martis Ck Nr Truckee,NA,Truckee,NA,NA,NA
Truckee R,312,NA,Nevada,NA,USGS,5602,North Lahontan,NA,PTK,PSRC1,10340300,39.37324142,39.3793513,-120.1315842,-120.1376984,2019-05-31T08:15:00Z,2019-05-31T07:00:00Z,Prosser Creek Near Truckee,Prosser C Res Nr Truckee Ca,Truckee,NA,5720.97,ca
Truckee R,603,NA,Sierra,NA,USGS,5956,North Lahontan,NA,STP,NA,NA,39.471,NA,-120.103,NA,2019-05-31T08:00:00Z,NA,Stampede,NA,Truckee,NA,NA,NA
Truckee R,2535,2550,Nevada,NA,USGS & DWR,5484,Sacramento River,9770,TBB,TBBC1,10344505,39.38518524,39.38518517,-120.0876999,-120.0876977,2019-05-31T08:15:00Z,2019-05-31T07:45:00Z,Truckee R At Boca Bridge,Truckee R A Boca Bridge Nr Truckee Ca,Truckee,NA,8.96,ca
Truckee R,NA,2520,Nevada,NA,USGS,5153,North Lahontan,17500,FAR,FARC1,10346000,39.42796326,39.42796385,-120.0340881,-120.0340873,2019-05-31T08:15:00Z,2019-05-31T07:45:00Z,Truckee River At Farad,Truckee R A Farad Ca,Floriston,11,6.27,ca
Truckee R,823,827,Placer,NA,USGS,5930,North Lahontan,2690,TTC,TRTC1,10337500,39.1662941,39.16629577,-120.1443558,-120.1443586,2019-05-31T08:15:00Z,2019-05-31T07:45:00Z,Truckee River At Tahoe City,Truckee R A Tahoe City Ca,Tahoe City,8,5.62,ca
Truckee R,1315,1320,Nevada,NA,USGS,5858,North Lahontan,11900,TRK,TRCC1,10338000,39.29629517,39.2962952,-120.2054749,-120.2054752,2019-05-31T08:15:00Z,2019-05-31T07:45:00Z,Truckee River Near Truckee,Truckee R Nr Truckee Ca,Truckee,5.5,3.56,ca
Truckee R,340,340,El Dorado,NA,USGS,6229,North Lahontan,5480,UPT,UTRC1,10336610,38.92240906,38.9224078,-119.9915695,-119.9915706,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,Upper Truckee At South Lake Tahoe,"Upper Truckee Rv At South Lake Tahoe, Ca",South Lake Tahoe,10.5,6.56,ca
Walker R,2134,976,Mono,NA,USGS,6591,North Lahontan,12500,WWR,CLEC1,10296500,38.378,38.51324495,-119.449,-119.4498872,2019-05-31T08:15:00Z,2019-05-31T07:50:00Z,West Walker River Nr Coleville,"W Walker Rv Nr Coleville, Ca",Coleville,8,5.33,ca
NA,NA,0,NA,NA,NA,NA,NA,814,NA,IVNC1,9423350,NA,35.24498915,NA,-115.2988759,NA,2019-05-31T07:15:00Z,NA,Caruthers C Nr Ivanpah Ca,NA,NA,0.02,ca
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRNC1,9423500,NA,34.85167074,NA,-114.6099647,NA,2019-05-02T12:30:00Z,NA,"Colorado River At Needles, Ca",NA,NA,457.52,ca
NA,NA,NA,NA,NA,NA,NA,NA,693000,NA,LKHC1,9427500,NA,34.31612564,NA,-114.1571702,NA,2019-05-31T07:30:00Z,NA,"Lake Havasu Near Parker Dam, Az-ca",NA,NA,49.57,ca
NA,NA,14400,NA,NA,NA,NA,NA,42400,NA,CPDC1,9427520,NA,34.29557035,NA,-114.140225,NA,2019-05-31T07:30:00Z,NA,"Colorado River Below Parker Dam, Az-ca",NA,NA,70.32,ca
NA,NA,1670,NA,NA,NA,NA,NA,2470,NA,NA,9429000,NA,33.7319659,NA,-114.5118999,NA,2019-05-31T07:15:00Z,NA,"Palo Verde Canal Near Blythe, Ca",NA,NA,NA,ca
NA,NA,6420,NA,NA,NA,NA,NA,24300,NA,CPVC1,9429100,NA,33.71946626,NA,-114.4980105,NA,2019-05-31T07:30:00Z,NA,"Colorado River Below Palo Verde Dam, Az-ca",NA,NA,3.61,ca
NA,NA,10.1,NA,NA,NA,NA,NA,104,NA,NA,9429155,NA,33.57474765,NA,-114.5463436,NA,2019-05-31T07:45:00Z,NA,"Pvid F-canal Spill Near Blythe, Ca",NA,NA,10.76,ca
NA,NA,0.39,NA,NA,NA,NA,NA,85,NA,NA,9429180,NA,33.4916942,NA,-114.6035666,NA,2019-05-31T07:45:00Z,NA,"Pvid D23 Spill Near Blythe, Ca",NA,NA,0.01,ca
NA,NA,17.6,NA,NA,NA,NA,NA,258,NA,NA,9429200,NA,33.42780713,NA,-114.6732907,NA,2019-05-31T07:45:00Z,NA,"Pvid C Canal Spill Near Blythe, Ca",NA,NA,10.62,ca
NA,NA,420,NA,NA,NA,NA,NA,30200,NA,CIDC1,9429500,NA,32.86758333,NA,-114.472111,NA,2019-05-31T07:45:00Z,NA,"Colorado River Below Imperial Dam, Az-ca",NA,NA,14.22,ca
NA,NA,414,NA,NA,NA,NA,NA,8160,NA,LGDC1,9429600,NA,32.8122666,NA,-114.5149494,NA,2019-05-31T07:30:00Z,NA,"Colorado River Below Laguna Dam, Az-ca",NA,NA,3.94,ca
NA,NA,727,NA,NA,NA,NA,NA,8980,NA,YMCC1,9521100,NA,32.73171354,NA,-114.6327306,NA,2019-05-31T07:45:00Z,NA,"Colorado R Blw Yuma Main Canal Ww At Yuma, Az",NA,NA,9.47,ca
NA,NA,7260,NA,NA,NA,NA,NA,NA,NA,NA,9523000,NA,32.8714319,NA,-114.480504,NA,2019-05-31T07:00:00Z,NA,"All-american Canal Nr Imperial Dam, Ca-az",NA,NA,22.54,ca
NA,NA,58.6,NA,NA,NA,NA,NA,207,NA,NA,9523200,NA,32.8180998,NA,-114.5146716,NA,2019-05-31T07:15:00Z,NA,"Reservation Main Canal Near Yuma, Az",NA,NA,10.87,ca
